condition_key,context_key,condition_label,notes
miapaca2_in_vitro__dox_bez_150nm_48_h_fig5a,miapaca2_in_vitro,"DOX+BEZ 150nM, 48 h (Fig5A)",
miapaca2_in_vitro__dox_bez_300nm_48_h_fig5a,miapaca2_in_vitro,"DOX+BEZ 300nM, 48 h (Fig5A)",
miapaca2_in_vitro__dox_bez_50nm_48_h_fig5a,miapaca2_in_vitro,"DOX+BEZ 50nM, 48 h (Fig5A)",
miapaca2_in_vitro__dox_bez_600nm_48_h_fig5a,miapaca2_in_vitro,"DOX+BEZ 600nM, 48 h (Fig5A)",
miapaca2_in_vitro__doxorubicin_0_05_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 0.05 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_0_05_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 0.05 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__doxorubicin_0_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 0.1 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_0_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 0.1 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__doxorubicin_0_2_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 0.2 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_0_2_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 0.2 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__doxorubicin_0_4_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 0.4 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_0_4_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 0.4 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__doxorubicin_0_6_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 0.6 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_0_6_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 0.6 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__doxorubicin_0_8_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 0.8 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_0_8_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 0.8 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__doxorubicin_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Doxorubicin 1 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__doxorubicin_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Doxorubicin 1 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
miapaca2_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,miapaca2_in_vitro,"Vehicle control, 24 h (Fig4C pS6 blot)",
miapaca2_in_vitro__vehicle_control_48_h_fig1a_pair_miapaca2_vs_mia_dx,miapaca2_in_vitro,"Vehicle control, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__vehicle_control_48_h_fig1b_pair_miapaca2_vs_mia_b1,miapaca2_in_vitro,"Vehicle control, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
