condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
huh7_control_plasmid_xu__control_plasmid_flavopiridol_100_nm__step_1,huh7_control_plasmid_xu__control_plasmid_flavopiridol_100_nm,Flavopiridol,100.0,nM,0,,h,1,
huh7_control_plasmid_xu__control_plasmid_mcl_1_promoter_luciferase_reporter__step_1,huh7_control_plasmid_xu__control_plasmid_mcl_1_promoter_luciferase_reporter,Vehicle,,,,,,1,
huh7_control_plasmid_xu__control_plasmid_regorafenib_8_um__step_1,huh7_control_plasmid_xu__control_plasmid_regorafenib_8_um,Regorafenib,8.0,uM,0,,h,1,
huh7_control_plasmid_xu__control_plasmid_sorafenib_5_um__step_1,huh7_control_plasmid_xu__control_plasmid_sorafenib_5_um,Sorafenib,5.0,uM,0,,h,1,
huh7_mcl1_oe_xu__mcl_1_overexpression_dinaciclib_50_nm_regorafenib_8_um__step_1,huh7_mcl1_oe_xu__mcl_1_overexpression_dinaciclib_50_nm_regorafenib_8_um,Dinaciclib,50.0,nM,0,,h,1,
huh7_mcl1_oe_xu__mcl_1_overexpression_dinaciclib_50_nm_regorafenib_8_um__step_2,huh7_mcl1_oe_xu__mcl_1_overexpression_dinaciclib_50_nm_regorafenib_8_um,Regorafenib,8.0,uM,0,,h,2,
huh7_shao_in_vitro__baseline_no_treatment__step_1,huh7_shao_in_vitro__baseline_no_treatment,Vehicle,,,,,,1,Untreated baseline comparison across cell lines.
huh7_shao_in_vitro__dinaciclib_100_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_100_nm_72_h,Dinaciclib,100.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation,Dinaciclib,10,nM,0,12,d,1,
huh7_shao_in_vitro__dinaciclib_10_nm_48_h_cell_cycle__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_48_h_cell_cycle,Dinaciclib,10.0,nM,0,48,h,1,
huh7_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling,Dinaciclib,10.0,nM,0,48.0,h,1,
huh7_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,Dinaciclib,10.0,nM,0,48.0,h,1,
huh7_shao_in_vitro__dinaciclib_10_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_72_h,Dinaciclib,10.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling,Dinaciclib,10.0,nM,0,72.0,h,1,
huh7_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement__step_1,huh7_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,Dinaciclib,10.0,nM,0,72.0,h,1,
huh7_shao_in_vitro__dinaciclib_15_nm_48_h_cell_cycle__step_1,huh7_shao_in_vitro__dinaciclib_15_nm_48_h_cell_cycle,Dinaciclib,15.0,nM,0,48,h,1,
huh7_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling__step_1,huh7_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling,Dinaciclib,15.0,nM,0,48.0,h,1,
huh7_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement__step_1,huh7_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,Dinaciclib,15.0,nM,0,48.0,h,1,
huh7_shao_in_vitro__dinaciclib_15_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_15_nm_72_h,Dinaciclib,15.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling__step_1,huh7_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling,Dinaciclib,15.0,nM,0,72.0,h,1,
huh7_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement__step_1,huh7_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,Dinaciclib,15.0,nM,0,72.0,h,1,
huh7_shao_in_vitro__dinaciclib_20_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_20_nm_72_h,Dinaciclib,20.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_25_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_25_nm_72_h,Dinaciclib,25.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_30_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_30_nm_72_h,Dinaciclib,30.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_50_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_50_nm_72_h,Dinaciclib,50.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation,Dinaciclib,5,nM,0,12,d,1,
huh7_shao_in_vitro__dinaciclib_5_nm_48_h_cell_cycle__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_48_h_cell_cycle,Dinaciclib,5.0,nM,0,48,h,1,
huh7_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling,Dinaciclib,5.0,nM,0,48.0,h,1,
huh7_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,Dinaciclib,5.0,nM,0,48.0,h,1,
huh7_shao_in_vitro__dinaciclib_5_nm_72_h__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_72_h,Dinaciclib,5.0,nM,0,72,h,1,
huh7_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling,Dinaciclib,5.0,nM,0,72.0,h,1,
huh7_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement__step_1,huh7_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,Dinaciclib,5.0,nM,0,72.0,h,1,
huh7_shao_in_vitro__vehicle_control_10_14_d_colony_formation__step_1,huh7_shao_in_vitro__vehicle_control_10_14_d_colony_formation,Vehicle,,,0,12,d,1,
huh7_shao_in_vitro__vehicle_control_48_h_cell_cycle__step_1,huh7_shao_in_vitro__vehicle_control_48_h_cell_cycle,Vehicle,,,0,48,h,1,
huh7_shao_in_vitro__vehicle_control_48_h_survival_signaling__step_1,huh7_shao_in_vitro__vehicle_control_48_h_survival_signaling,Vehicle,,,0,48.0,h,1,
huh7_shao_in_vitro__vehicle_control_48_h_target_engagement__step_1,huh7_shao_in_vitro__vehicle_control_48_h_target_engagement,Vehicle,,,0,48.0,h,1,
huh7_shao_in_vitro__vehicle_control_72_h__step_1,huh7_shao_in_vitro__vehicle_control_72_h,Vehicle,,,0,72,h,1,
huh7_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response__step_1,huh7_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,Vehicle,,,0,72,h,1,
huh7_shao_in_vitro__vehicle_control_72_h_survival_signaling__step_1,huh7_shao_in_vitro__vehicle_control_72_h_survival_signaling,Vehicle,,,0,72.0,h,1,
huh7_shao_in_vitro__vehicle_control_72_h_target_engagement__step_1,huh7_shao_in_vitro__vehicle_control_72_h_target_engagement,Vehicle,,,0,72.0,h,1,
huh7_shao_sirna_hcc__cdk1_overexpression_dinaciclib_2_5_nm_colony_formation_rescue__step_1,huh7_shao_sirna_hcc__cdk1_overexpression_dinaciclib_2_5_nm_colony_formation_rescue,Dinaciclib,2.5,nM,0,12,d,1,
huh7_shao_sirna_hcc__cdk9_overexpression_dinaciclib_2_5_nm_colony_formation_rescue__step_1,huh7_shao_sirna_hcc__cdk9_overexpression_dinaciclib_2_5_nm_colony_formation_rescue,Dinaciclib,2.5,nM,0,12,d,1,
huh7_shao_sirna_hcc__sicdk1_2_5_9__step_1,huh7_shao_sirna_hcc__sicdk1_2_5_9,siCDK1+2+5+9,,,0,72,h,1,"siRNA transfection, 72h."
huh7_shao_sirna_hcc__sicdk1__step_1,huh7_shao_sirna_hcc__sicdk1,siCDK1,,,0,72,h,1,"siRNA transfection, 72h."
huh7_shao_sirna_hcc__sicdk2__step_1,huh7_shao_sirna_hcc__sicdk2,siCDK2,,,0,72,h,1,"siRNA transfection, 72h."
huh7_shao_sirna_hcc__sicdk5__step_1,huh7_shao_sirna_hcc__sicdk5,siCDK5,,,0,72,h,1,"siRNA transfection, 72h."
huh7_shao_sirna_hcc__sicdk9__step_1,huh7_shao_sirna_hcc__sicdk9,siCDK9,,,0,72,h,1,"siRNA transfection, 72h."
huh7_shao_sirna_hcc__sint__step_1,huh7_shao_sirna_hcc__sint,siNT,,,0,72,h,1,"siRNA transfection, 72h."
huh7_shao_sirna_hcc__vector_dinaciclib_2_5_nm_colony_formation_rescue__step_1,huh7_shao_sirna_hcc__vector_dinaciclib_2_5_nm_colony_formation_rescue,Dinaciclib,2.5,nM,0,12,d,1,
huh7_shao_xenograft__dinaciclib_20_mg_kg__step_1,huh7_shao_xenograft__dinaciclib_20_mg_kg,Dinaciclib,20.0,mg/kg,0,,d,1,"IP, 3x/week."
huh7_shao_xenograft__dinaciclib_20_mg_kg_tunel__step_1,huh7_shao_xenograft__dinaciclib_20_mg_kg_tunel,Dinaciclib,20.0,mg/kg,0,,d,1,"IP, 3x/week."
huh7_shao_xenograft__dinaciclib_40_mg_kg__step_1,huh7_shao_xenograft__dinaciclib_40_mg_kg,Dinaciclib,40.0,mg/kg,0,,d,1,"IP, 3x/week."
huh7_shao_xenograft__dinaciclib_40_mg_kg_tunel__step_1,huh7_shao_xenograft__dinaciclib_40_mg_kg_tunel,Dinaciclib,40.0,mg/kg,0,,d,1,"IP, 3x/week."
huh7_shao_xenograft__vehicle__step_1,huh7_shao_xenograft__vehicle,Vehicle,,,,,d,1,
huh7_shao_xenograft__vehicle_tunel__step_1,huh7_shao_xenograft__vehicle_tunel,Vehicle,,,,,d,1,
huh7_stat3_oe_xu__stat3_overexpression_flavopiridol_100_nm__step_1,huh7_stat3_oe_xu__stat3_overexpression_flavopiridol_100_nm,Flavopiridol,100.0,nM,0,,h,1,
huh7_stat3_oe_xu__stat3_overexpression_mcl_1_promoter_luciferase_reporter__step_1,huh7_stat3_oe_xu__stat3_overexpression_mcl_1_promoter_luciferase_reporter,Vehicle,,,,,,1,
huh7_xu_in_vitro__huh7_control_0h__step_1,huh7_xu_in_vitro__huh7_control_0h,Vehicle,,,0,0.0,h,1,
huh7_xu_in_vitro__huh7_control_12h__step_1,huh7_xu_in_vitro__huh7_control_12h,Vehicle,,,0,12.0,h,1,
huh7_xu_in_vitro__huh7_control_24h__step_1,huh7_xu_in_vitro__huh7_control_24h,Vehicle,,,0,24.0,h,1,
huh7_xu_in_vitro__huh7_control_6h__step_1,huh7_xu_in_vitro__huh7_control_6h,Vehicle,,,0,6.0,h,1,
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_0h__step_1,huh7_xu_in_vitro__huh7_dinaciclib_50_nm_0h,Dinaciclib,50.0,nM,0,0.0,h,1,
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_12h__step_1,huh7_xu_in_vitro__huh7_dinaciclib_50_nm_12h,Dinaciclib,50.0,nM,0,12.0,h,1,
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_24h__step_1,huh7_xu_in_vitro__huh7_dinaciclib_50_nm_24h,Dinaciclib,50.0,nM,0,24.0,h,1,
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_6h__step_1,huh7_xu_in_vitro__huh7_dinaciclib_50_nm_6h,Dinaciclib,50.0,nM,0,6.0,h,1,
huh7_xu_xenograft__control__step_1,huh7_xu_xenograft__control,Vehicle,,,,,d,1,
huh7_xu_xenograft__dinaciclib_30_mg_kg__step_1,huh7_xu_xenograft__dinaciclib_30_mg_kg,Dinaciclib,30.0,mg/kg,0,,d,1,"IP, QOD."
huh7_xu_xenograft__dinaciclib_30_mg_kg_regorafenib_20_mg_kg__step_1,huh7_xu_xenograft__dinaciclib_30_mg_kg_regorafenib_20_mg_kg,Dinaciclib,30.0,mg/kg,0,,d,1,"IP, QOD."
huh7_xu_xenograft__dinaciclib_30_mg_kg_regorafenib_20_mg_kg__step_2,huh7_xu_xenograft__dinaciclib_30_mg_kg_regorafenib_20_mg_kg,Regorafenib,20.0,mg/kg,0,,d,2,"Oral, QD."
huh7_xu_xenograft__regorafenib_20_mg_kg__step_1,huh7_xu_xenograft__regorafenib_20_mg_kg,Regorafenib,20.0,mg/kg,0,,d,1,"Oral, QD."
plc5_shao_in_vitro__baseline_no_treatment__step_1,plc5_shao_in_vitro__baseline_no_treatment,Vehicle,,,,,,1,Untreated baseline comparison across cell lines.
plc5_shao_in_vitro__dinaciclib_100_nm_72_h__step_1,plc5_shao_in_vitro__dinaciclib_100_nm_72_h,Dinaciclib,100.0,nM,0,72,h,1,
plc5_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation,Dinaciclib,10,nM,0,12,d,1,
plc5_shao_in_vitro__dinaciclib_10_nm_48_h_cell_cycle__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_cell_cycle,Dinaciclib,10.0,nM,0,48,h,1,
plc5_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling,Dinaciclib,10.0,nM,0,48.0,h,1,
plc5_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement__step_1,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,Dinaciclib,10.0,nM,0,48.0,h,1,
