condition_key,context_key,condition_label,notes
ovcar5_onc201_0_fig3c,ovcar5_in_vitro,ONC201 0 uM (Fig3C),
ovcar5_onc201_1_fig3c,ovcar5_in_vitro,ONC201 1 uM (Fig3C),
ovcar5_onc201_10_fig3c,ovcar5_in_vitro,ONC201 10 uM (Fig3C),
ovcar5_onc201_100_fig3c,ovcar5_in_vitro,ONC201 100 uM (Fig3C),
skov3_onc201_0_fig3c,skov3_in_vitro,ONC201 0 uM (Fig3C),
skov3_onc201_1_fig3c,skov3_in_vitro,ONC201 1 uM (Fig3C),
skov3_onc201_10_fig3c,skov3_in_vitro,ONC201 10 uM (Fig3C),
skov3_onc201_100_fig3c,skov3_in_vitro,ONC201 100 uM (Fig3C),
ovcar5_onc201_0_fig5abc,ovcar5_in_vitro,ONC201 0 uM (Fig5A-C),
ovcar5_onc201_1_fig5abc,ovcar5_in_vitro,ONC201 1 uM (Fig5A-C),
ovcar5_onc201_10_fig5abc,ovcar5_in_vitro,ONC201 10 uM (Fig5A-C),
ovcar5_onc201_100_fig5abc,ovcar5_in_vitro,ONC201 100 uM (Fig5A-C),
skov3_onc201_0_fig5abc,skov3_in_vitro,ONC201 0 uM (Fig5A-C),
skov3_onc201_1_fig5abc,skov3_in_vitro,ONC201 1 uM (Fig5A-C),
skov3_onc201_10_fig5abc,skov3_in_vitro,ONC201 10 uM (Fig5A-C),
skov3_onc201_100_fig5abc,skov3_in_vitro,ONC201 100 uM (Fig5A-C),
ovcar5_onc201_0_Scramble_fig5g,ovcar5_in_vitro,"ONC201 0 uM, Scramble (Fig5G)",
ovcar5_onc201_0.1_Scramble_fig5g,ovcar5_in_vitro,"ONC201 0.1 uM, Scramble (Fig5G)",
ovcar5_onc201_1_Scramble_fig5g,ovcar5_in_vitro,"ONC201 1 uM, Scramble (Fig5G)",
ovcar5_onc201_10_Scramble_fig5g,ovcar5_in_vitro,"ONC201 10 uM, Scramble (Fig5G)",
ovcar5_onc201_100_Scramble_fig5g,ovcar5_in_vitro,"ONC201 100 uM, Scramble (Fig5G)",
ovcar5_onc201_0_ClpP_siRNA_fig5g,ovcar5_in_vitro,"ONC201 0 uM, ClpP_siRNA (Fig5G)",
ovcar5_onc201_0.1_ClpP_siRNA_fig5g,ovcar5_in_vitro,"ONC201 0.1 uM, ClpP_siRNA (Fig5G)",
ovcar5_onc201_1_ClpP_siRNA_fig5g,ovcar5_in_vitro,"ONC201 1 uM, ClpP_siRNA (Fig5G)",
ovcar5_onc201_10_ClpP_siRNA_fig5g,ovcar5_in_vitro,"ONC201 10 uM, ClpP_siRNA (Fig5G)",
ovcar5_onc201_100_ClpP_siRNA_fig5g,ovcar5_in_vitro,"ONC201 100 uM, ClpP_siRNA (Fig5G)",
skov3_onc201_0_Scramble_fig5g,skov3_in_vitro,"ONC201 0 uM, Scramble (Fig5G)",
skov3_onc201_0.1_Scramble_fig5g,skov3_in_vitro,"ONC201 0.1 uM, Scramble (Fig5G)",
skov3_onc201_1_Scramble_fig5g,skov3_in_vitro,"ONC201 1 uM, Scramble (Fig5G)",
skov3_onc201_10_Scramble_fig5g,skov3_in_vitro,"ONC201 10 uM, Scramble (Fig5G)",
skov3_onc201_100_Scramble_fig5g,skov3_in_vitro,"ONC201 100 uM, Scramble (Fig5G)",
skov3_onc201_0_ClpP_siRNA_fig5g,skov3_in_vitro,"ONC201 0 uM, ClpP_siRNA (Fig5G)",
skov3_onc201_0.1_ClpP_siRNA_fig5g,skov3_in_vitro,"ONC201 0.1 uM, ClpP_siRNA (Fig5G)",
